pair	upper_genome	lower_genome	upper_chr	upper_start	upper_end	upper_len	lower_chr	lower_start	lower_end	lower_len	strand	aln_len	identity	mapq	sv_type	sv_confidence	sv_description
0	seal	walrus	chr4	177018278	177097863	194885503	HiC_scaffold_4	18510405	18589260	195332734	-	80218	0.94382	60	SYN		
0	seal	walrus	chr6	19141340	19217301	183866734	HiC_scaffold_7	145508466	145585195	164900479	-	77922	0.93377	60	SYN		
0	seal	walrus	chr8	83801262	83874774	149036999	HiC_scaffold_8	66604709	66678471	164568501	-	74389	0.95532	60	SYN		
0	seal	walrus	chr3	67936728	68007521	205388059	HiC_scaffold_2	173844272	173916516	241959550	-	73023	0.93147	60	SYN		
0	seal	walrus	chr10	120191445	120246483	139808248	HiC_scaffold_10	121510118	121579213	146617287	+	70943	0.72792	60	SYN		
0	seal	walrus	chr13	59259834	59326668	107648809	HiC_scaffold_13	49434256	49501241	124104227	-	67330	0.96623	60	SYN		
0	seal	walrus	chr11_X	22968817	23034963	136838675	HiC_scaffold_11	89948254	90013747	133231135	+	67059	0.93841	60	INV	1.0	INV: chr11_X→HiC_scaffold_11, 295 blocks, coord_span=47,338,556bp, strand=+
0	seal	walrus	chr11_X	48427427	48493262	136838675	HiC_scaffold_11	115603645	115668632	133231135	+	66874	0.93048	60	INV	1.0	INV: chr11_X→HiC_scaffold_11, 295 blocks, coord_span=47,338,556bp, strand=+
0	seal	walrus	chr4	140863416	140928187	194885503	HiC_scaffold_4	54643787	54708115	195332734	-	64870	0.97188	60	SYN		
0	seal	walrus	chr11_X	110304462	110367165	136838675	HiC_scaffold_11	27717184	27778692	133231135	-	63267	0.93638	60	SYN		
0	seal	walrus	chr11_X	48543520	48602096	136838675	HiC_scaffold_11	115718778	115777373	133231135	+	60093	0.92786	60	INV	1.0	INV: chr11_X→HiC_scaffold_11, 295 blocks, coord_span=47,338,556bp, strand=+
0	seal	walrus	chr11_X	122585440	122644396	136838675	HiC_scaffold_11	15337796	15396981	133231135	-	59999	0.94230	60	SYN		
0	seal	walrus	chr1	63450848	63508770	217707538	HiC_scaffold_3	159523875	159580030	229927018	-	58915	0.90668	60	SYN		
0	seal	walrus	chr11_X	68016613	68071888	136838675	HiC_scaffold_11	70689555	70743851	133231135	-	55817	0.93747	60	SYN		
0	seal	walrus	chr9	72434199	72489354	148077548	HiC_scaffold_9	86366108	86413674	162726345	+	55445	0.82925	60	SYN		
0	seal	walrus	chr14	27940152	27987171	94996587	HiC_scaffold_15	28611386	28663239	101842037	+	54932	0.77585	60	SYN		
0	seal	walrus	chr3	72563995	72617561	205388059	HiC_scaffold_2	169244619	169298445	241959550	-	54898	0.92473	60	SYN		
0	seal	walrus	chr7	107063215	107117351	157322065	HiC_scaffold_12	50799382	50846443	126030552	-	54831	0.82278	60	FUSION	1.0	FUSION: chr7 switches HiC_scaffold_1→HiC_scaffold_12 at 91,723,754; support=260+272 blocks, aln_sum=10,159,583bp, partner_ratio=1.000
0	seal	walrus	chr11_X	20000804	20053904	136838675	HiC_scaffold_11	86816047	86869212	133231135	+	54289	0.93564	60	INV	1.0	INV: chr11_X→HiC_scaffold_11, 295 blocks, coord_span=47,338,556bp, strand=+
0	seal	walrus	chr3	11483142	11536541	205388059	HiC_scaffold_2	230199328	230246514	241959550	-	53979	0.83575	60	SYN		
0	seal	walrus	chr8	19873227	19926369	149036999	HiC_scaffold_8	119713070	119766383	164568501	+	53941	0.95291	60	INV	1.0	INV: chr8→HiC_scaffold_8, 35 blocks, coord_span=13,639,115bp, strand=+
0	seal	walrus	chr14	33048331	33100803	94996587	HiC_scaffold_15	33924897	33977207	101842037	+	53080	0.94554	60	SYN		
0	seal	walrus	chr4	110692861	110745349	194885503	HiC_scaffold_4	85005677	85058115	195332734	-	52916	0.96345	60	SYN		
0	seal	walrus	chr1	65420252	65465160	217707538	HiC_scaffold_3	157574604	157626080	229927018	-	52404	0.81528	60	SYN		
0	seal	walrus	chr11_X	108821742	108867879	136838675	HiC_scaffold_11	29228909	29280263	133231135	-	52344	0.84055	60	SYN		
0	seal	walrus	chr11_X	97331478	97381859	136838675	HiC_scaffold_11	41044560	41095684	133231135	-	51643	0.94108	60	SYN		
0	seal	walrus	chr1	83851521	83902711	217707538	HiC_scaffold_3	138992150	139042648	229927018	-	51539	0.94779	60	SYN		
0	seal	walrus	chr14	31339318	31389829	94996587	HiC_scaffold_15	32140875	32191425	101842037	+	51300	0.94173	60	SYN		
0	seal	walrus	chr11_X	19773461	19823877	136838675	HiC_scaffold_11	86598501	86648950	133231135	+	51158	0.94599	60	INV	1.0	INV: chr11_X→HiC_scaffold_11, 295 blocks, coord_span=47,338,556bp, strand=+
0	seal	walrus	chr12	84683313	84733974	112221121	HiC_scaffold_14	87859169	87901446	116415308	+	51053	0.79537	60	SYN		
0	seal	walrus	chr1	93977371	94027964	217707538	HiC_scaffold_3	128767678	128817755	229927018	-	50808	0.95241	60	SYN		
0	seal	walrus	chr11_X	124719148	124768198	136838675	HiC_scaffold_11	13192203	13240227	133231135	-	50238	0.90802	60	SYN		
0	seal	walrus	chr11_X	22280558	22329235	136838675	HiC_scaffold_11	89304092	89344652	133231135	+	49464	0.78297	60	INV	1.0	INV: chr11_X→HiC_scaffold_11, 295 blocks, coord_span=47,338,556bp, strand=+
0	seal	walrus	chr10	94272772	94321024	139808248	HiC_scaffold_10	95112718	95160195	146617287	+	48814	0.93070	60	SYN		
0	seal	walrus	chr9	87402996	87451360	148077548	HiC_scaffold_9	101321423	101369675	162726345	+	48669	0.95876	60	SYN		
0	seal	walrus	chr3	159460031	159500604	205388059	HiC_scaffold_2	82051670	82098508	241959550	-	48153	0.78957	60	SYN		
0	seal	walrus	chr11_X	20380307	20427823	136838675	HiC_scaffold_11	87224117	87263741	133231135	+	48073	0.78647	60	INV	1.0	INV: chr11_X→HiC_scaffold_11, 295 blocks, coord_span=47,338,556bp, strand=+
0	seal	walrus	chr7	46596402	46628601	157322065	HiC_scaffold_1	207372618	207418793	255833283	-	47585	0.62682	60	FUSION	1.0	FUSION: chr7 switches HiC_scaffold_1→HiC_scaffold_12 at 91,723,754; support=260+272 blocks, aln_sum=10,159,583bp, partner_ratio=1.000
0	seal	walrus	chr5	54361888	54408308	189809382	HiC_scaffold_5	55275242	55321759	194900523	+	46975	0.94659	60	SYN		
0	seal	walrus	chr11_X	125368394	125414193	136838675	HiC_scaffold_11	12546032	12591945	133231135	-	46885	0.92927	60	SYN		
0	seal	walrus	chr2	48376157	48422085	212544305	HiC_scaffold_1	48819926	48866466	255833283	+	46752	0.95027	60	SYN		
0	seal	walrus	chr13	74661765	74707452	107648809	HiC_scaffold_13	33937389	33982069	124104227	-	46708	0.90948	60	SYN		
0	seal	walrus	chr11_X	114461241	114507543	136838675	HiC_scaffold_11	23560353	23606039	133231135	-	46614	0.94845	60	SYN		
0	seal	walrus	chr13	40806113	40852012	107648809	HiC_scaffold_13	68071733	68117635	124104227	-	46556	0.94606	60	SYN		
0	seal	walrus	chr11_X	22582764	22628610	136838675	HiC_scaffold_11	89579220	89624970	133231135	+	46485	0.94409	60	INV	1.0	INV: chr11_X→HiC_scaffold_11, 295 blocks, coord_span=47,338,556bp, strand=+
0	seal	walrus	chr2	113302984	113348025	212544305	HiC_scaffold_1	114041383	114087116	255833283	+	46230	0.93424	60	SYN		
0	seal	walrus	chr6	21685051	21728287	183866734	HiC_scaffold_7	142924371	142969956	164900479	-	46230	0.89444	60	SYN		
0	seal	walrus	chr11_X	83079545	83125341	136838675	HiC_scaffold_11	55641991	55683596	133231135	-	46134	0.87111	60	SYN		
0	seal	walrus	chr2	55930288	55975602	212544305	HiC_scaffold_1	56457935	56502901	255833283	+	46014	0.93498	60	SYN		
0	seal	walrus	chr1	173743563	173789098	217707538	HiC_scaffold_3	46404390	46449901	229927018	-	45786	0.95870	60	SYN		
0	seal	walrus	chr11_X	109350205	109395308	136838675	HiC_scaffold_11	28694088	28739301	133231135	-	45749	0.95438	60	SYN		
0	seal	walrus	chr1	198071631	198116377	217707538	HiC_scaffold_3	21880708	21925496	229927018	-	45497	0.93716	60	SYN		
0	seal	walrus	chr6	14459332	14504202	183866734	HiC_scaffold_7	150272527	150314559	164900479	-	45398	0.88561	60	INS	0.7201	INS: chr6→HiC_scaffold_7, gap size 1,067,106bp at 14,504,202
0	seal	walrus	chr11_X	110175875	110220947	136838675	HiC_scaffold_11	27862460	27906015	133231135	-	45273	0.93093	60	SYN		
0	seal	walrus	chr11_X	124008182	124052920	136838675	HiC_scaffold_11	13947124	13991314	133231135	-	45260	0.93875	60	SYN		
0	seal	walrus	chr1	168604119	168643958	217707538	HiC_scaffold_3	51590472	51633170	229927018	-	44687	0.82071	60	SYN		
0	seal	walrus	chr5	175601194	175645072	189809382	HiC_scaffold_5	180291204	180335135	194900523	+	44574	0.94275	60	SYN		
0	seal	walrus	chr5	123605635	123647247	189809382	HiC_scaffold_5	127871179	127915102	194900523	+	44546	0.89355	60	SYN		
0	seal	walrus	chr15	53062116	53106010	94578441	HiC_scaffold_6	57198992	57242582	169845636	+	44172	0.95708	60	SYN		
0	seal	walrus	chr11_X	54901842	54938308	136838675	HiC_scaffold_11	122179448	122217059	133231135	+	43967	0.66463	60	INV	1.0	INV: chr11_X→HiC_scaffold_11, 295 blocks, coord_span=47,338,556bp, strand=+
0	seal	walrus	chr11_X	66624864	66661347	136838675	HiC_scaffold_11	72121415	72163928	133231135	-	43939	0.77710	60	SYN		
0	seal	walrus	chr9	85994544	86037628	148077548	HiC_scaffold_9	99939023	99979239	162726345	+	43832	0.87352	60	SYN		
0	seal	walrus	chr12	41283105	41326314	112221121	HiC_scaffold_14	42429191	42472678	116415308	+	43760	0.95973	60	SYN		
0	seal	walrus	chr11_X	93498530	93533895	136838675	HiC_scaffold_11	44938948	44980397	133231135	-	43722	0.73652	60	SYN		
0	seal	walrus	chr11_X	47420864	47464386	136838675	HiC_scaffold_11	114564245	114607441	133231135	+	43707	0.95362	60	INV	1.0	INV: chr11_X→HiC_scaffold_11, 295 blocks, coord_span=47,338,556bp, strand=+
0	seal	walrus	chr10	55105477	55148425	139808248	HiC_scaffold_10	56712600	56755708	146617287	+	43602	0.94535	60	SYN		
0	seal	walrus	chr1	190730696	190773939	217707538	HiC_scaffold_3	29336341	29370935	229927018	-	43539	0.76212	60	SYN		
0	seal	walrus	chr9	111310037	111352997	148077548	HiC_scaffold_9	125439789	125482887	162726345	+	43502	0.95007	60	SYN		
0	seal	walrus	chr10	54887506	54929572	139808248	HiC_scaffold_10	56489438	56532064	146617287	+	43169	0.93340	60	SYN		
0	seal	walrus	chr1	55652892	55687745	217707538	HiC_scaffold_3	167392116	167434429	229927018	-	43057	0.76875	60	SYN		
0	seal	walrus	chr7	111150427	111192110	157322065	HiC_scaffold_12	46794775	46828882	126030552	-	42903	0.74454	60	FUSION	1.0	FUSION: chr7 switches HiC_scaffold_1→HiC_scaffold_12 at 91,723,754; support=260+272 blocks, aln_sum=10,159,583bp, partner_ratio=1.000
0	seal	walrus	chr11_X	67373491	67415801	136838675	HiC_scaffold_11	71334084	71376233	133231135	-	42880	0.94625	60	SYN		
0	seal	walrus	chr11_X	100315104	100356419	136838675	HiC_scaffold_11	38047236	38089081	133231135	-	42777	0.91940	60	SYN		
