adjacent_pair	preset	pair_label	pair	upperGenome	lowerGenome	upper	upperStart	upperEnd	upperLen	lower	lowerStart	lowerEnd	lowerLen	strand	alnLen	identity	mapq	upper_block_rank	lower_block_rank	chr_pair_block_count	chr_pair_aln_sum	source_block_index_after_filters	reason
0	asm5	seal_vs_walrus	0	seal	walrus	chr15	84930	95167	94578441	HiC_scaffold_2	241830801	241839787	241959550	-	10281	0.841840	60	5	2	3	33101	4069	upper_partner_rank>4
0	asm5	seal_vs_walrus	0	seal	walrus	chr15	85986	98148	94578441	HiC_scaffold_2	15213167	15224114	241959550	+	12243	0.856650	60	5	2	3	33101	4193	upper_partner_rank>4
0	asm5	seal_vs_walrus	0	seal	walrus	chr15	151945	162288	94578441	HiC_scaffold_2	241767933	241778403	241959550	-	10577	0.931170	60	5	2	3	33101	4207	upper_partner_rank>4
0	asm5	seal_vs_walrus	0	seal	walrus	chr15	84913	98053	94578441	HiC_scaffold_3	1309462	1321359	229927018	-	13215	0.865680	60	8	2	1	13215	6527	upper_partner_rank>4
0	asm5	seal_vs_walrus	0	seal	walrus	chr15	154019	164354	94578441	HiC_scaffold_5	194803088	194813373	194900523	-	10597	0.911010	60	6	2	2	21237	11525	upper_partner_rank>4
0	asm5	seal_vs_walrus	0	seal	walrus	chr15	151942	162346	94578441	HiC_scaffold_5	88378	98917	194900523	+	10640	0.929420	60	6	2	2	21237	11596	upper_partner_rank>4
0	asm5	seal_vs_walrus	0	seal	walrus	chr15	84913	98053	94578441	HiC_scaffold_9	8892619	8904539	162726345	-	13217	0.864490	60	7	2	1	13217	17323	upper_partner_rank>4
0	asm5	seal_vs_walrus	0	seal	walrus	chr15	85986	98148	94578441	HiC_scaffold_13	112140111	112151050	124104227	+	12239	0.859300	60	9	2	1	12239	22581	upper_partner_rank>4
0	asm5	seal_vs_walrus	0	seal	walrus	chr15	154394	164354	94578441	HiC_scaffold_14	92569	102464	116415308	+	10215	0.910520	60	10	2	1	10215	23664	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	50234	75595	169845636	chr1	218211751	218236942	218279025	-	25657	0.937680	60	10	2	17	109237	4559	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	37937	49706	169845636	chr1	218154309	218165671	218279025	-	11794	0.927590	60	10	2	17	109237	6786	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	58223	66137	169845636	chr1	218138039	218146129	218279025	-	8132	0.939010	60	10	2	17	109237	6856	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	58241	66130	169845636	chr1	77628	85680	218279025	+	8080	0.941210	60	10	2	17	109237	7158	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	42474	49614	169845636	chr1	61939	69034	218279025	+	7146	0.960960	60	10	2	17	109237	7418	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	27265	30856	169845636	chr1	46967	50550	218279025	+	3607	0.969230	60	10	2	17	109237	7604	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	20931	26893	169845636	chr1	218176563	218182557	218279025	-	6009	0.957230	60	10	2	17	109237	7705	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	50293	57980	169845636	chr1	218146373	218153843	218279025	-	7723	0.932930	60	10	2	17	109237	7728	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	44732	49706	169845636	chr1	218237345	218242297	218279025	-	4978	0.964640	60	10	2	17	109237	7742	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	27265	30980	169845636	chr1	218172474	218176179	218279025	-	3731	0.963820	60	10	2	17	109237	8048	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_4	195105859	195114920	195332734	chr1	93197	102289	218279025	-	9132	0.953900	60	7	3	2	16615	8176	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_4	195094924	195102388	195332734	chr1	105514	112972	218279025	-	7483	0.958570	60	7	3	2	16615	8267	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	27265	29462	169845636	chr1	218256919	218259118	218279025	-	2205	0.974600	60	10	2	17	109237	8495	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	53885	57995	169845636	chr1	73290	77381	218279025	+	4119	0.963100	60	10	2	17	109237	8584	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	37937	43931	169845636	chr1	218243098	218248595	218279025	-	6003	0.881730	60	10	2	17	109237	8600	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_1	112811959	112816221	255833283	chr1	156941442	156945711	218279025	-	4270	0.962530	48	9	6	1	4270	8764	upper_partner_rank>4;lower_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	50293	52909	169845636	chr1	69917	72529	218279025	+	2619	0.966400	60	10	2	17	109237	9031	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_9	709	2657	162726345	chr1	218276870	218278757	218279025	-	1990	0.926130	60	15	8	1	1990	9147	upper_partner_rank>4;lower_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	38674	41632	169845636	chr1	58235	60988	218279025	+	2959	0.900640	60	10	2	17	109237	9194	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_11	100371543	100374765	133231135	chr1	157757934	157761162	218279025	-	3234	0.957950	18	5	4	2	6468	9379	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_11	100371543	100374765	133231135	chr1	157431649	157434877	218279025	-	3234	0.957640	18	5	4	2	6468	9405	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	33022	35329	169845636	chr1	52719	55028	218279025	+	2315	0.955940	24	10	2	17	109237	9460	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_6	33266	35418	169845636	chr1	218168047	218170204	218279025	-	2160	0.959260	60	10	2	17	109237	9483	upper_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_15	101406509	101409210	101842037	chr1	218127687	218130383	218279025	+	2702	0.958920	60	9	7	1	2702	9554	upper_partner_rank>4;lower_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_13	123125783	123132191	124104227	chr1	218201370	218207484	218279025	-	6453	0.901910	60	12	5	1	6453	9624	upper_partner_rank>4;lower_partner_rank>4
1	asm5	walrus_vs_hai_lion	1	walrus	hai_lion	HiC_scaffold_1	161557973	161569944	255833283	chr2	205313046	205325486	205446347	-	12720	0.897330	60	8	4	2	16292	14603	upper_partner_rank>4
